Eyeblue|Si es lo que tienen los gobiernos comunistas bolivarianos que hacen subir la Bolsa.
Quasar|@in99 #56 Cerrar @ Quasar # 44 yo trabajo en una empresa del sector industrial de alta cualificación y le confirmo que nunca se ha vendido tanto como en el 2024 y 2025 y subiendo márgenes. Eso de que España va mal yo no me lo creo. Lo que hay que hacer es aflorar todo el trabajo en negro del turismo y la hostelería y eparo baja más de 2 puntos La economía no va mal, pero los deberes no se han hecho. En cuanto los vientos favorables cambien España volverá a ser una de las economías más afectadas. El turismo es el 10% del PIB, la industria más potente en España, cuando debería serlo el sector industrial. O el sector terciario si fuesen servicios de alto valor añadido, que no lo son. Esa es la foto por muy bien que le vaya a su empresa. Cómo la suya debería haber muchísimas más y apoyadas por el gobierno.
MaribelyAlvaro|Pues claro, ¿para quien creéis que gobierna Pedro Sánchez? ¿Para los pobrecillos? No, para el Ibex. Mira los resultados de los bancos, de las energéticas, de las farmacéuticas, de las aseguradoras, de las telecos... Nunca en la historia han ganado lo que ganan con Sánchez. ¿Casualidad? No, negocio. Si los bancos quisieran acabar con Sanchez, en dos semanas lo hacen. Simplemente dejan de acudir a las subastas semanales del Tesoro y el gobierno se va a la .... Pero no lo hacen. Porque están ganando lo que en su vida. La gente no llega a fin de mes, los jóvenes no pueden alquilar un piso ni con sueldo de titulado superior, no se puede encender la cale ni el aire acondicionado... ¿cómo es posible?
Oisinmad2|Pero ni por asomo se está traduciendo en la economía real. Nada tiene que ver con lo que sucedía en los 2000, que se vivía (muchas veces a crédito) un boom del consumo preferentemente nacional. Y por supuesto son sectores concretos que tiran de estos datos, que por cierto se dan en el templo del capitalismo financiero que tanto odia la izquierda.
Yamuy|@ADELE_ #75 Cerrar @ im21 # 72 El buen trabajo del Partido Popular es conocido en el mundo entero. Mire usted lo bien que gestionaron la Dana, no murió casi nadie. Hablando de gestión, para gestión la de la pandemia que fue mejor permitir concentraciones masivas para hacer el paripé con sus votantes y sus socios. Con el resultado de miles de muertos.
JFLK|@im21 #70 Cerrar Sí, hay que reconocer que desde 2011 se ha hecho un buen trabajo ... con el gobierno del Partido Popular con Rajoy y Montoro ..., tras la congelación de sueldos públicos y pensiones que hizo el psoe de Zapatero. Luego, la inercia de tan buen trabajo trajo como consecuencia una tendencia que perdura hasta hoy ... confiemos en que no haya más ERES, D. Angelos, cocaína, etc. etc. ... y se use el dinero público (que es de todos a pesar de lo que diga una consejera de estado de que no es de nadie) ... en algo más que no sea asar vacas con ese dinero ... !!!!! ... Pero Abalos y cía parece que insisten en esa faceta tan de los socios listos ... Sí, esa contabilidad creativa de Mpunto Rajoy que le desmintieron sus propias epas y Eurostat...@Novale #52 Cerrar Vamos a manifestarnos, van a arruinar España, es el fin del mundo! Pues desde que Sumar y Yolanda Díaz aplican sus políticas socialdemócratas a pesar del inútil de Sánchez. La deuda y el déficit público llevan bajando a ritmo récord desde la moción de censura, salvo en pandemia. Somos el referente actual de crecimiento y creación de empleo en la UE, por primera vez en nuestra historia epas,Eurostat y la UE que preside la presidenta del pp europeo avalan las cifras, éxitos económicos y de empleo españoles. Lo contrario que con Feijoo, Ayuso, Abascal y la contabilidad creativa de Mpunto Rajoy. Sumar y Yolanda Díaz es lo único que realmente funciona en España a pesar del inútil de Sánchez, Feijoo que busca tapar con la berrea la imputación de la pareja de Ayuso, su plan bicho, la dana de Mazón...
Salthill87|Más dura será la bajada...
yosoyelRock|El Mundo al revés,los zurdos felicitando al gobierno por hacer más ricos a los ricos y más pobres a los pobres, habéis si os aclaráis.
Piwi-Lin|Creo que hay que tener en cuenta el IPC... La cosa va así así, el coste de la vida ha subido mucho...
Editora|La mejor bolsa del mundo, y el Presidente más guapo del mundo. Si fuera de derechas lo peta, (y además hizo la Mili el Cáceres, no como el Prorroguitas)..
ADELE_|@im21 #72 Cerrar @ N0RL # 8 Meno mal que hay alguien que reconoce el buen trabajo del Partido Popular ... pero ya nos estamos cansando de hacer el trabajo y que luego se lo gasten los psoecialistas en D. Angelos y en cocaína ... El buen trabajo del Partido Popular es conocido en el mundo entero. Mire usted lo bien que gestionaron la Dana, no murió casi nadie.
1Observador|@MenosLamentoyMasAccion #73 Cerrar Toma tomate pperos. Los mejores datos económicos en décadas, gracias a las políticas del gobierno de Pedro Sánchez y su ministro de economía Carlos Cuerpo. Ya claro...la renta poscovid internacional acumulada de la gente que viene y el dopamientonde la economía con Fondos Next Generation más la inmigración a mansalva que trabaja por dos duros no han tenido nada que ver...pobre iluso...
MenosLamentoyMasAccion|Toma tomate pperos. Los mejores datos económicos en décadas, gracias a las políticas del gobierno de Pedro Sánchez y su ministro de economía Carlos Cuerpo.
im21|@N0RL #8 Cerrar Enhorabuena España! Enhorabuena al mejor gobierno de la historia. Meno mal que hay alguien que reconoce el buen trabajo del Partido Popular ... pero ya nos estamos cansando de hacer el trabajo y que luego se lo gasten los psoecialistas en D. Angelos y en cocaína ...
LAGUNA619|@Utopilitologo #62 Cerrar .. Y mientras Asnar, acude a una manifestación con sus gafas negras, bajo el lema; "MAFIA o Democracia" Donde has visto esa imagen cuéntanos , zurdo adiestrad.
im21|Sí, hay que reconocer que desde 2011 se ha hecho un buen trabajo ... con el gobierno del Partido Popular con Rajoy y Montoro ..., tras la congelación de sueldos públicos y pensiones que hizo el psoe de Zapatero. Luego, la inercia de tan buen trabajo trajo como consecuencia una tendencia que perdura hasta hoy ... confiemos en que no haya más ERES, D. Angelos, cocaína, etc. etc. ... y se use el dinero público (que es de todos a pesar de lo que diga una consejera de estado de que no es de nadie) ... en algo más que no sea asar vacas con ese dinero ... !!!!! ... Pero Abalos y cía parece que insisten en esa faceta tan de los socios listos ...
Atlanta47|El capital que esta huyendo de EEUU por culpa de Donald Trump, se esta refugiando en Europa y se volverá a ir cuándo se tranquilice la cuestión, así que menos gritos milagritos.
Nora_93|Si los bancos tiran del ibex con las hipotecas millonarias que se están pagando con los alquileres sangrando a la gente joven que no puede tener hijos, todo tiene sentido.
Sidi|¿Le van a dar las gracias a Trump o solo se le nombra​/insulta cuando las bolsas caen?
angelisa|España se hunde.
JULES3|@JohnWick85 #43 Cerrar @ jorgito88 # 28 cuéntanos por favor que medidas de pedro Sánchez han hecho subir el ibex jajajajajaja Me encantan los fachirulos. Si con ZP subía el paro la culpa era suya y no de los empresarios por despedir. Si con Sanchez pasa todo lo contrario la culpa ahora sí es de la gente y de los empresarios por contratar e invertir. Teneis ahí un win win,. Se os da la enhorabuena y a cibeles, campeones.
Editora|No es por nada, pero Sánchez es el Gobernante más patriota desde Franco. Ha recuperado el escudo social para losespañoles vulnerables. Con el PP, el que se quedaba en paro, tenía la libertad de morir de hambre desahuciado, en la esquina que eligiera; por no recordar que regularizaban masivamente ilegales con un simple abono transportes...
JFLK|@Novale #52 Cerrar Vamos a manifestarnos, van a arruinar España, es el fin del mundo! Pues desde que Sumar y Yolanda Díaz aplican sus políticas socialdemócratas a pesar del inútil de Sánchez. La deuda y el déficit público llevan bajando a ritmo récord desde la moción de censura, salvo en pandemia. Somos el referente actual de crecimiento y creación de empleo en la UE, por primera vez en nuestra historia epas,Eurostat y la UE que preside la presidenta del pp europeo avalan las cifras, éxitos económicos y de empleo españoles. Lo contrario que con Feijoo, Ayuso, Abascal y la contabilidad creativa de Mpunto Rajoy. Sumar y Yolanda Díaz es lo único que realmente funciona en España a pesar del inútil de Sánchez, Feijoo que busca tapar con la berrea la imputación de la pareja de Ayuso, su plan bicho, la dana de Mazón...
Utopilitologo|.. Y mientras Asnar, acude a una manifestación con sus gafas negras, bajo el lema; "MAFIA o Democracia"
Gratefuldead|@Novale #52 Cerrar Vamos a manifestarnos, van a arruinar España, es el fin del mundo! Vamos!! Con Ayuso y Mazón encabezando la marcha y Ansar,Rajoy y el amigo del narco sosteniendo la pancarta ¿ Stop mafia ¿ Barcenas y el yonqui del dinero repartiendo pulseritas de España
pacobruno|La Serena que viene Donald Trump volverá a hablar de subir los aranceles y todo se ira al caro, y entonces diréis que es culpa de la derecha capitalista
Vilanis|Los bancos saqueando a los Españoles. El gobierno saqueando a los ciudadanos via impuestos, y los ricos mas ricos cada día, le llaman progreso.
Editora|Si Sánchez renunciara a los chiringuitos de memoria, género, tauromaquia, lgtbi, etc, sacaba mayoría absoluta, pero se empeña en crear enemigos
Editora|@Morgann #51 Cerrar Qué nerviosa se pone la caspa cuando leen datos económicos favorables como los del Ibex35 o el euribor. No soportan que España vaya bien. Relajaos... que va a gobernar Feijóo, pero en 2027, no antes. :) No por favor! Cualquiera menos el Vacunitas! Prefiero hasta el Prorroguitas!
in99|@Quasar #44 Cerrar @ Quetevotetxapapote # 10 Con Aznar España creció entre el 3,5% y el 4% anual. La mitad del crecimiento eran fondos europeos otro tanto por el ladrillo y menos del 1% por la economía real. Y así pasó cuando eso se esfumó. Es de miopes no ver qué estamos igual, con el rebote de todo lo destruido en el COVID, regados con fondos europeos. La economía real es un "fluf" porque seguimos produciendo, principalmente, ajos y cebollas, sol y playa. yo trabajo en una empresa del sector industrial de alta cualificación y le confirmo que nunca se ha vendido tanto como en el 2024 y 2025 y subiendo márgenes. Eso de que España va mal yo no me lo creo. Lo que hay que hacer es aflorar todo el trabajo en negro del turismo y la hostelería y eparo baja más de 2 puntos
divinopoeta1|Mira que la gente es corta en este país, suben por los beneficios de bancos que están fuera de España, aquí un caos y aparte de eso, que pasó justo un año después de eso?? En 2008. Pues eso, me reiré muy lejos de vosotros y el sistema comunista que está en buen camino, de impunidad y dictadura, sin libertad de casi nada. Disfruten de ello, seguro qué les gustará!!!
Atlanta47|.Con este gobierno Sanchista los únicos que están ganando son sus amigos ricos y los bancos, los trabajadores al contrario, cada día tenemos un poder adquisitivo mas bajos y sueldos peores que hace 15 años
Novale|@JohnWick85 #43 Cerrar @ jorgito88 # 28 cuéntanos por favor que medidas de pedro Sánchez han hecho subir el ibex jajajajajaja las medidas para poner a España en el mapa otra vez, después del anulamiento internacional que sufrió con el pp.
Novale|Vamos a manifestarnos, van a arruinar España, es el fin del mundo!
Morgann|Qué nerviosa se pone la caspa cuando leen datos económicos favorables como los del Ibex35 o el euribor. No soportan que España vaya bien. Relajaos... que va a gobernar Feijóo, pero en 2027, no antes. :)
Editora|Al final Sánchez va a ser Superman de verdad, como dicen en USA! Con todo en contra, y los inversores metiendo pasta como locos en España!
JFLK|@juanatila #46 Cerrar @ JFLK # 41 Creo que se equivoca difamando a Pedro Sánchez, en mi opinión un gran gobernante al igual que Yolanda Díaz, la mejor ministra de trabajo de la historia de España, no debemos caer en la izquierda cainita de siempre o vuelven los salva patrias de estos foros con sus cutres sistemas de vida, fíjese que yo creo que Óscar y Yolanda serían un tanden perfecto para seguir gobernando. Sánchez es un inútil integral que si hubiera podido pactar con ciudadanos nunca habría habido coalición de izquierdas ni se habría atrevido a subir tanto el smi ni los impuestos a los más ricos. Que son el verdadero motor de nuestro crecimiento y creación de empleo. Las políticas socialdemócratas de Yolanda Díaz y Sumar es lo único que realmente funciona en España, por eso tantos publireportajes de la berrea podemita e IU haciendo el trabajo sucio a la derecha y nacionalistas como en Galicia, para mantener dividida a la izquierda y la abstención que genera. @Quasar #44 Cerrar @ Quetevotetxapapote # 10 Con Aznar España creció entre el 3,5% y el 4% anual. La mitad del crecimiento eran fondos europeos otro tanto por el ladrillo y menos del 1% por la economía real. Y así pasó cuando eso se esfumó. Es de miopes no ver qué estamos igual, con el rebote de todo lo destruido en el COVID, regados con fondos europeos. La economía real es un "fluf" porque seguimos produciendo, principalmente, ajos y cebollas, sol y playa. Los fondos europeos los tienen casi todos los países de la UE. El ladrillazo de Ansar dejó sembrada la mayor crisis de nuestra reciente historia y el colapso de los juzgados de imputados y condenados en firme.
Morgann|Ya está el gobierno socialcomunista enriqueciendo a España. Sánchez, dimisión!
Editora|@JohnWick85 #43 Cerrar @ jorgito88 # 28 cuéntanos por favor que medidas de pedro Sánchez han hecho subir el ibex jajajajajaja Escudo social. La gente ya no muere de hambre como con el PP...
juanatila|@JFLK #41 Cerrar @ juanatila # 37... En países donde esos grandes patrocinadores de las ultraderechas colocan a los más corruptos gobernantes para seguir expoliando a gusto. De paso garantizar esas migraciones masivas que tanto ayudan a las ultraderechas...Esos récords de megabeneficios multimilmillonarios de esas grandes empresas del ibex y multinacionales, son a costa del consumo del resto. Peeeero no quieren pagar más impuestos ni mejorar las condiciones laborales ni subir salarios. Cuando el inútil de Sánchez le haga caso a Yolanda Díaz y se atreva a aplicar las políticas de máximos de beneficios empresariales que llevan décadas funcionando en la Europa del norte. Entonces igual se solucionarían muchos problemas. Creo que se equivoca difamando a Pedro Sánchez, en mi opinión un gran gobernante al igual que Yolanda Díaz, la mejor ministra de trabajo de la historia de España, no debemos caer en la izquierda cainita de siempre o vuelven los salva patrias de estos foros con sus cutres sistemas de vida, fíjese que yo creo que Óscar y Yolanda serían un tanden perfecto para seguir gobernando.
Editora|Olr ole ole! Pedro Sanchezone! Igualamelo Feijoo!
Quasar|@Quetevotetxapapote #10 Cerrar Si los empresarios tuvieran un poco de inteligencia, votarían sin dudar a Pedro Sánchez y lo recomendarían. Con él tenemos la mejor etapa económica de la Historia de España. Con Aznar España creció entre el 3,5% y el 4% anual. La mitad del crecimiento eran fondos europeos otro tanto por el ladrillo y menos del 1% por la economía real. Y así pasó cuando eso se esfumó. Es de miopes no ver qué estamos igual, con el rebote de todo lo destruido en el COVID, regados con fondos europeos. La economía real es un "fluf" porque seguimos produciendo, principalmente, ajos y cebollas, sol y playa.
JohnWick85|@jorgito88 #28 Cerrar No lo entiendo. Según El Mundo, Sánchez está llevado a España al cataclismo. cuéntanos por favor que medidas de pedro Sánchez han hecho subir el ibex jajajajajaja
