umbral2|Lo de tener un Fiscal General proesado penalmente, no pasa en ninguna democracia.
WILLY_NILLY|@ADELE_ #556 Cerrar @ nifacha_niwoke # 536 Pero señor, si un golpe de estado y una dictadura es exactamente lo que quieren PillyMilly y el resto de foreros... Yo lo que quiero es que Sánchez conceda ayudas sociales a indigentes mentales como Adelita, que no sale de aquí, todo el día metida...Pobre mía...
Crowvn|Lo verdaderamente deleznable es... que un Fical General tenga comportamientos que obtruyan la Justicia, porque nada tiene que temer, aquel que nada ha hecho. Estoy seguro que las garantias procesales son las maximas,dado quien es.
Segistobre|Si la filtración no se refiriera al novio de Ayuso seguro que el PP y ciertos jueces no le habrían dado ninguna importancia.
WILLY_NILLY|@mercurio1 #592 Cerrar Todo sin pruebas,las tramas de la derecha y ciertos jueces son conocidas; pero tranquilos que al final lo que cuenta, como dice Ayuso,cada ciudadano un voto Cuando me expliques por qué el FG no sólo borra todos los WhatsApps , sino que RESETEA completamente su móvil , tan pronto lo señalan como RESPONSABLE de una ILEGALIDAD, entonces hablamos y debatimos...
Steve|Y como sea declarado culpable ( bastante probable) podría ser que Hacienda no ingrese los 300.000 euros que estaba dispuesto a pagar el novio de Ayuso. Por indefensión
Segistobre|Seguro que si no fuera el novio de Ayuso los jueces afines no se tomarían "ese interés".
El_futuro_ya_paso|@Segistobre #649 Cerrar Ángel Hurtado ha decidido procesar a Álvaro García Ortiz, por la filtración del correo con la confesión de fraude fiscal de la pareja de Isabel Díaz Ayuso. El juez asegura que el fiscal general actuó siguiendo "indicaciones recibidas de Presidencia del Gobierno" . Sin embargo, el auto, de más de 50 folios, no aporta ninguna prueba concreta sobra esas "indicaciones" llegadas desde el Gobierno. Ahhh que se ha leído usted el auto.... Bueno no,que lo que pasa es que le ha llegado el bulofax de Moncloa.
Plamenchu|@DDavid #640 Cerrar Por lo que se lee por aquí, los incondicionales del partido rojo tienen la instrucción de salir a pelear con ellas y dientes. Años atrás les tocó a los del partido azul. Los que no nos vestimos suele del mismo color estamos asustados de la poca objetividad con la que leen la realidad rojos, azules, morados y verdes. ¿Nos moriremos viendo que esto cambie? Este pobre no se entera, por lo tanto no debería votar.
Segistobre|Si la filtración no se refiriera al novio de Ayuso seguro que el PP y ciertos jueces no le habrían dado ninguna importancia.
No_mas_politicos|@ADELE_ #657 Cerrar @ No_mas_politicos # 626 Ya, pero le he hecho una pregunta: ¿Cómo le puede parecer normal que alguien defraude 350000 euros, qué clase de español es usted? no voy a entrar en su juego señora, a usted le gusta el barro y le he respondido. Léase de nuevo el comentario 626. Aprenda a respetar y seguro que no la insultan, que lo veo fatal por cierto.
